speaker_id,word,vowel_id,syllable_type,duration,F1,F2,F3,sex
Attah-021_mono,t?,4,open,0.11672,475,1043,1730,male
Precious-015_mono,da,a,open,0.20899,720,1618,2284,female
Precious-015_mono,gyidie,e,open,0.16142,406,2217,2596,female
Ama-023_mono,?yidie,e,open,0.18828,415,2212,2751,female
Precious-015_mono,pue,e,open,0.30768,421,2212,2475,female
Mary-018_mono,?di,ae,closed,0.09177,527,2087,2774,female
Mary-018_mono,obi,i,open,0.14201,359,2573,3077,female
Jane-022_mono,fa,a,open,0.15814,949,1625,3296,female
OKRAH-07_mono,pue,e,open,0.1505,351,2193,2652,male
Cynthia-013_mono,gyidie,e,open,0.12843,447,2192,2512,female
Jane-022_mono,?di,i,open,0.23511,293,2578,2969,female
Precious-015_mono,?du,ae,closed,0.08165,551,2006,2866,female
Eunice-008_mono,?du,ae,closed,0.10816,557,2064,2748,female
Naura-017_mono,?du,ae,closed,0.11846,570,1982,2842,female
Boampong-009_mono,?du,u,open,0.09233,248,1251,2148,male
Boampong-009_mono,?du,ae,closed,0.13892,619,1891,2318,male
Ama-023_mono,t?,4,open,0.18802,437,1053,2491,female
Sly-022,obi,o,closed,0.11583,366,727,2565,male
Naura-017_mono,?di,i,open,0.13349,289,2590,3623,female
Moses-012_mono,?du,ae,closed,0.1012,616,1531,2241,male
Sly-022,?p?,1,open,0.1272,462,718,2040,male
Attah-021_mono,da,a,open,0.17681,670,1644,2871,male
Attah-021_mono,?di,ae,closed,0.10284,618,1759,2899,male
Eric-020_mono,ebi,e,closed,0.10645,349,2181,2475,male
Eric-020_mono,?du,u,open,0.11064,250,1294,2181,male
Cynthia-013_mono,t?,4,open,0.14159,566,1065,2527,female
Eunice-008_mono,da,a,open,0.15522,746,1652,2087,female
Sly-022,k?,1,open,0.15157,497,736,1977,male
Sly-022,ko,o,open,0.14664,490,849,2085,male
Mary-018_mono,fa,a,open,0.12545,1095,1657,2895,female
Mary-018_mono,ebi,e,closed,0.06862,411,2168,2501,female
FELIX-02_mono,ebi,e,closed,0.11355,338,2164,2744,male
Attah-021_mono,bue,e,open,0.15241,375,2160,2392,male
Boampong-009_mono,?di,ae,closed,0.14189,622,1777,2502,male
Cynthia-013_mono,ab?,a,closed,0.09786,906,1661,2418,female
Precious-015_mono,obi,i,open,0.17024,246,2613,3630,female
Cynthia-013_mono,?du,ae,closed,0.09608,583,1765,2517,female
Elizabeth-010_mono,?di,i,open,0.13937,259,2636,3358,female
Vincent-019_mono,?du,ae,closed,0.05489,598,1551,2918,male
