name,Frequency,Intensity
blow,2820.849609375,-8.689188921211036
blow,2831.6162109375,-5.540720903756561
blow,2842.3828125,-1.1838334385391067
blow,2853.1494140625,-4.836384354367277
blow,2863.916015625,-5.703159737920411
blow,2874.6826171875,-12.697659777729873
blow,2885.44921875,-1.974855718145223
blow,2896.2158203125,-3.4312178314404447
blow,2906.982421875,-10.906768042772105
blow,2917.7490234375,-11.705138199522796
blow,2928.515625,-7.647040861052457
blow,2939.2822265625,-5.552724087825681
blow,2950.048828125,-6.014610204496464
blow,2960.8154296875,-5.221287129507138
blow,2971.58203125,-12.333284034199302
blow,2982.3486328125,-4.374429769574394
blow,2993.115234375,-5.77765835734392
blow,3003.8818359375,-25.11997427773132
blow,3014.6484375,-11.484165096962062
blow,3025.4150390625,-9.308995991778291
blow,3036.181640625,-6.358922792716012
blow,3046.9482421875,-13.37660890839992
blow,3057.71484375,-1.804770160133077
blow,3068.4814453125,-1.760085478349739
blow,3079.248046875,-7.404862356586569
blow,3090.0146484375,-4.996610719008008
blow,3100.78125,-2.589335374277738
blow,3111.5478515625,-13.262691046146653
blow,3122.314453125,-20.134386778870002
blow,3133.0810546875,-3.0297542045693566
blow,3143.84765625,0.9853686451853683
blow,3154.6142578125,0.010464746987019671
blow,3165.380859375,-2.4409320472590688
blow,3176.1474609375,-3.1249703092894383
blow,3186.9140625,-2.459496149143253
blow,3197.6806640625,-6.213496663749352
blow,3208.447265625,-16.003880879892524
blow,3219.2138671875,-7.728773897108664
blow,3229.98046875,-1.8264039310282563
blow,3240.7470703125,-1.853686000012438
blow,3251.513671875,-12.442269437023741
blow,3262.2802734375,-14.640492927689303
blow,3273.046875,-1.5572950304698265
blow,3283.8134765625,-3.1175196475160734
blow,3294.580078125,-2.3756196091787207
blow,3305.3466796875,-5.596279363289851
blow,3316.11328125,-13.818842930574913
blow,3326.8798828125,-6.631949911926391
blow,3337.646484375,-9.082766138580949
blow,3348.4130859375,-7.067422634559209
blow,3359.1796875,0.056874756136104695
blow,3369.9462890625,1.4403228574875657
