speaker_id,word,vowel_id,duration,F1,F2,F3
Eric-020_mono,ko,o,0.12625,440,1394,2074
Eric-020_mono,ko:ko,o:,0.15022,329,843,2159
Eric-020_mono,da,a,0.15525,1204,2032,3289
Eric-020_mono,d?,2,0.17065,464,1743,2646
Eric-020_mono,f?:n?:,44,0.17067,570,736,2190
Eric-020_mono,k?:,11,0.45765,449,693,2247
Eric-020_mono,hu:,u:,0.50788,355,1156,2566
Eric-020_mono,d?:,22,0.5807,423,1747,2379
Eric-020_mono,f?:,33,0.58735,365,1601,3163
Eric-020_mono,da:,a:,0.59581,620,1370,2372
